status, oldUrl, newUrl,failure, actual
passed,the user opens /A36256 on the old website,the user verifies resulting resource /8-107-6698,null,
passed,the user opens /A36259 on the old website,the user verifies resulting resource /0-107-6701,null,
passed,the user opens /A36260 on the old website,the user verifies resulting resource /8-107-6702,null,
passed,the user opens /A36270 on the old website,the user verifies resulting resource /7-102-5973,null,
passed,the user opens /A36282 on the old website,the user verifies resulting resource /8-102-5883,null,
passed,the user opens /a36293 on the old website,the user verifies resulting resource /5-107-6713,null,
passed,the user opens /A36295 on the old website,the user verifies resulting resource /3-107-6714,null,
passed,the user opens /A36297 on the old website,the user verifies resulting resource /8-107-6716,null,
passed,the user opens /A36299 on the old website,the user verifies resulting resource /4-107-6718,null,
passed,the user opens /A36305 on the old website,the user verifies resulting resource /6-107-6722,null,
passed,the user opens /A36306 on the old website,the user verifies resulting resource /4-107-6723,null,
passed,the user opens /A36307 on the old website,the user verifies resulting resource /2-107-6724,null,
passed,the user opens /A36308 on the old website,the user verifies resulting resource /9-107-6725,null,
passed,the user opens /A36311 on the old website,the user verifies resulting resource /3-107-6728,null,
passed,the user opens /A36312 on the old website,the user verifies resulting resource /1-107-6729,null,
passed,the user opens /A36313 on the old website,the user verifies resulting resource /9-107-6730,null,
passed,the user opens /A36314 on the old website,the user verifies resulting resource /7-107-6731,null,
passed,the user opens /A36315 on the old website,the user verifies resulting resource /5-107-6732,null,
passed,the user opens /A36316 on the old website,the user verifies resulting resource /3-107-6733,null,
passed,the user opens /A36326 on the old website,the user verifies resulting resource /1-102-5891,null,
passed,the user opens /A36328 on the old website,the user verifies resulting resource /3-102-5885,null,
passed,the user opens /A36331 on the old website,the user verifies resulting resource /2-107-6743,null,
passed,the user opens /A36332 on the old website,the user verifies resulting resource /0-107-6744,null,
passed,the user opens /A36335 on the old website,the user verifies resulting resource /3-107-6747,null,
passed,the user opens /A36337 on the old website,the user verifies resulting resource /9-107-6749,null,
passed,the user opens /A36341 on the old website,the user verifies resulting resource /1-107-6753,null,
passed,the user opens /A36342 on the old website,the user verifies resulting resource /9-107-6754,null,
passed,the user opens /A36346 on the old website,the user verifies resulting resource /0-107-6758,null,
passed,the user opens /A36348 on the old website,the user verifies resulting resource /6-107-6760,null,
passed,the user opens /A36350 on the old website,the user verifies resulting resource /2-107-6762,null,
passed,the user opens /A36351 on the old website,the user verifies resulting resource /0-107-6763,null,
passed,the user opens /A36354 on the old website,the user verifies resulting resource /0-107-5018,null,
passed,the user opens /A36355 on the old website,the user verifies resulting resource /3-107-6766,null,
passed,the user opens /A36356 on the old website,the user verifies resulting resource /1-107-6767,null,
passed,the user opens /A36358 on the old website,the user verifies resulting resource /7-107-6769,null,
passed,the user opens /A36359 on the old website,the user verifies resulting resource /5-107-6770,null,
passed,the user opens /A36360 on the old website,the user verifies resulting resource /3-107-6771,null,
passed,the user opens /A36362 on the old website,the user verifies resulting resource /9-107-6773,null,
passed,the user opens /A36363 on the old website,the user verifies resulting resource /7-107-6774,null,
